Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
first-contributions,2718,68464,0,-1,N/A,0.9817671809256662
git-flight-rules,3509,221,0,0,N/A,0.7534246575342466
awesome-rust,3514,1296,0,0,Rust,0.924812030075188
joplin,2599,2884,329,-1,TypeScript,0.9403204708960105
pandas,4937,24811,107,-1,Python,0.8633294975067127
yarn,2963,1653,152,0,JavaScript,0.7169061449098135
open-interpreter,230,195,25,-1,Python,0.7291666666666666
FFmpeg,4704,16,0,0,C,0
CppCoreGuidelines,3116,798,4,-1,Python,0.7903508771929825
hiring-without-whiteboards,2542,1247,0,0,JavaScript,0
gitea,2676,14680,187,-1,Go,0.8107699650015908
PythonDataScienceHandbook,2759,28,0,-1,Jupyter Notebook,0.4021164021164021
nocodb,2314,2774,129,-1,TypeScript,0.8350936967632028
terraform,3639,11318,291,-1,Go,0.9140955249987853
zustand,1787,590,80,-1,TypeScript,0.9968652037617555
huginn,4008,980,1,0,Ruby,0.7070610687022901
vue2-elm,2624,21,0,-1,Vue,0.8202247191011236
frontend-dev-bookmarks,3904,129,1,-1,N/A,0.803921568627451
30-Days-Of-JavaScript,1529,98,0,-1,JavaScript,0.3958333333333333
zx,1030,122,58,-1,JavaScript,0.8398950131233596
Alamofire,3500,624,97,-1,Swift,0.9871794871794872
pm2,3936,543,121,0,JavaScript,0.8255528255528255
astro,1081,5316,1000,-1,TypeScript,0.9756722151088348
grpc,3370,19172,290,-1,C++,0.9465293327362293
weekly,1965,81,0,0,N/A,0.18719590268886044
nw.js,4439,573,0,0,JavaScript,0.8752918555143524
styled-components,2753,937,165,0,TypeScript,0.9212099894477664
discourse,4065,22498,0,-1,Ruby,0
dubbo,4272,4958,94,0,Java,0.8671017502224859
react-use,1951,1498,254,0,TypeScript,0.42526690391459077
awesome-react-components,2806,316,0,-1,N/A,0.8979591836734694
edex-ui,2588,399,29,-1,JavaScript,0.9892665474060823
appwrite,1788,2582,80,-1,TypeScript,0.8259811378156373
Leaflet,4908,2933,31,-1,JavaScript,0.9238727308217841
